Name	SW620_LARGE_INTESTINE	NCIH23_LUNG	KM12_LARGE_INTESTINE	U251MG_CENTRAL_NERVOUS_SYSTEM	SF268_CENTRAL_NERVOUS_SYSTEM	NCIH522_LUNG	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DU145_PROSTATE	SKMEL28_SKIN	NCIH460_LUNG	PC3_PROSTATE	MDAMB231_BREAST	NIHOVCAR3_OVARY	UACC257_SKIN	OVCAR5_OVARY	HCT15_LARGE_INTESTINE	HOP62_LUNG	MDAMB435S_SKIN	HCT116_LARGE_INTESTINE	OVCAR8_OVARY	A549_LUNG	HOP92_LUNG	NCIH226_LUNG	OVCAR4_OVARY	HT29_LARGE_INTESTINE	LOXIMVI_SKIN	EKVX_LUNG	MCF7_BREAST	ACHN_KIDNEY	BT549_BREAST	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SF539_CENTRAL_NERVOUS_SYSTEM	UO31_KIDNEY	SF295_CENTRAL_NERVOUS_SYSTEM	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	UACC62_SKIN	MALME3M_SKIN	MDAMB468_BREAST	SKMEL5_SKIN	HS578T_BREAST	IGROV1_OVARY	TK10	T47D_BREAST	SNB75_CENTRAL_NERVOUS_SYSTEM	SKOV3_OVARY	A498_KIDNEY
C56:5 TAG		10988789.0	10055610.0	15848334.0	9511831.0		13809495.0	31046441.0		135160814.0	57503306.0	51663163.0	55961213.0		7493908.0	2931602.0	5196947.0	27245587.0	3554665.0	5762812.0	34596186.0	39300395.0	7915414.0		10716955.0	6353902.0	3513180.0		12190985.0	45780097.0	68839299.0	6731955.0	14724598.0	29673872.0	29270172.0	21396913.0	106553785.0	26551371.0	8499219.0	34473270.0	26719009.0	3595125.0	2595319.0	8499088.0	11106833.0	85686309.0
C56:4 TAG	12558134.0	18881619.0	20301740.0		5575538.0		8867227.0	18222662.0	10543396.0	96792866.0	41491735.0	30018179.0	26469830.0	3937788.0	5754196.0	6179679.0	16793899.0	25875113.0	6403446.0		13404587.0	17797341.0	5950260.0		4790103.0	3646083.0	4368508.0		11861461.0	27621298.0	30428788.0	4252463.0	6016651.0	35258965.0	25852066.0	19678079.0	26497097.0	18450958.0	11576443.0	20215770.0	19158462.0	5745288.0	8902790.0	5491203.0	20087491.0	70393060.0
C56:3 TAG	48426108.0	30105730.0	36726951.0	13750420.0	6654344.0		18866442.0	20930745.0	34875556.0	159975937.0	24517676.0	27402143.0	10331559.0	15200717.0	7446418.0	17593373.0	17754577.0	37918432.0	53169925.0	4247724.0	20392135.0	20896543.0	11483321.0	9472631.0	8392557.0	3786306.0	11238456.0	45897720.0	10924872.0	17020947.0	13921031.0	5747803.0	16125419.0	82614306.0	18349578.0	32897321.0	19998869.0	18388744.0	35366385.0	16270617.0	40612722.0	31160651.0	56755357.0	10164576.0	22566422.0	108060982.0
C56:2 TAG	23117800.0	18431515.0	27544344.0	5977124.0	4587292.0		16035969.0	8645499.0	9239139.0	45889865.0	11195610.0	16222212.0		8301113.0	4222623.0	18092285.0	7342967.0	25722965.0	31179092.0		9150999.0	12477968.0	15838535.0	3773067.0	15919790.0	2095438.0	3640522.0	5969763.0	5570723.0		4835496.0	3702330.0	10681659.0	18971850.0	11060998.0	28173501.0		4705338.0	13797924.0	4091101.0	12758770.0	4190013.0	39739692.0	5019445.0	27683940.0	63273241.0
C56:1 TAG	5995728.0	7447030.0	23622337.0	2545759.0	4121052.0					7917514.0	6650489.0	8851702.0		2540096.0	3058196.0	26098382.0	2954148.0	6410481.0	11782304.0			6078301.0	9382985.0		13134541.0	2490177.0		1280316.0	1425088.0			1552389.0	9645742.0	3790147.0	6542130.0	21481498.0		2417190.0		2287185.0		698063.0	15058449.0	1564525.0	12671073.0	28329927.0
C58:12 TAG						7768984.0			10081135.0															7041842.0																						
C58:11 TAG		2917133.0						2174460.0																						1850545.0																
C58:10 TAG					3840829.0	2896749.0	10731179.0			3498992.0	8288648.0	8502946.0	3435602.0					3319622.0			10003043.0	22294098.0				3602996.0					14747860.0	1755518.0			6048852.0		18155173.0			6095384.0	30179929.0					
C58:9 TAG								4591298.0		4731163.0	14354379.0	9677472.0						4320294.0				17212495.0			4254988.0				3483441.0	18894204.0	50072445.0				7965526.0		14035004.0			12547075.0						22399074.0
C58:8 TAG		11083178.0		5516191.0	4786283.0		4050873.0	15541572.0		23748470.0	18914490.0	20523838.0	41011958.0		2989298.0	3322344.0	3736091.0	13312028.0			42337842.0	34624351.0	1985175.0		12879486.0	9665494.0	2071812.0	8966502.0	9653643.0	40919805.0	52601268.0	4343048.0		6274039.0	12259027.0	5834869.0	24172020.0	5567743.0	1609815.0	12541925.0	11643237.0	1415569.0		2025191.0	1962314.0	57490500.0
C58:7 TAG	2789300.0	18258929.0	4233954.0	8363250.0	1495009.0		2976919.0	16536872.0	1710181.0	34478240.0	29847596.0	24423718.0	47988662.0	631318.0	3094335.0	5079486.0	6207245.0	50046814.0	1619694.0	2068579.0	15434315.0	23740955.0	1955799.0	2603180.0	20898912.0		3945380.0	32435271.0	19560283.0	45731780.0	62642884.0	2428714.0		5064515.0	11134557.0	8563845.0	34494921.0	21617946.0	6003269.0	25463330.0	15459648.0	1760046.0	6151274.0	2053030.0	2973583.0	64219460.0
C58:6 TAG		15855786.0	5827337.0	14714858.0	5886933.0	1606810.0		26338638.0	2364255.0	31600181.0	34696110.0	41699902.0	18238335.0	1924659.0	6291988.0	3687030.0	5996149.0	19140456.0	2170006.0	3823252.0	39700612.0	43972772.0			29773538.0	3694444.0	2297482.0	14786317.0	30854421.0	43202076.0	51420431.0	4833226.0	3316255.0	9690642.0	26314628.0	19834940.0	29161104.0	9376811.0	6932448.0	24488237.0			5096401.0	2523167.0	9093904.0	42599726.0
C60:12 TAG											3193910.0											3346597.0									6283570.0															5838775.0
