Name	SW620_LARGE_INTESTINE	NCIH23_LUNG	KM12_LARGE_INTESTINE	U251MG_CENTRAL_NERVOUS_SYSTEM	SF268_CENTRAL_NERVOUS_SYSTEM	NCIH522_LUNG	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DU145_PROSTATE	SKMEL28_SKIN	NCIH460_LUNG	PC3_PROSTATE	MDAMB231_BREAST	NIHOVCAR3_OVARY	UACC257_SKIN	OVCAR5_OVARY	HCT15_LARGE_INTESTINE	HOP62_LUNG	MDAMB435S_SKIN	HCT116_LARGE_INTESTINE	OVCAR8_OVARY	A549_LUNG	HOP92_LUNG	NCIH226_LUNG	OVCAR4_OVARY	HT29_LARGE_INTESTINE	LOXIMVI_SKIN	EKVX_LUNG	MCF7_BREAST	ACHN_KIDNEY	BT549_BREAST	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SF539_CENTRAL_NERVOUS_SYSTEM	UO31_KIDNEY	SF295_CENTRAL_NERVOUS_SYSTEM	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	UACC62_SKIN	MALME3M_SKIN	MDAMB468_BREAST	SKMEL5_SKIN	HS578T_BREAST	IGROV1_OVARY	TK10	T47D_BREAST	SNB75_CENTRAL_NERVOUS_SYSTEM	SKOV3_OVARY	A498_KIDNEY
methionine	498614.0	255988.0	646941.0	232789.0	208525.0	162965.0	87942.0	365578.0	403823.0	209498.0	50367.0	141436.0	244898.0	225286.0	129699.0	85404.0	264891.0	128596.0	219907.0	190854.0	1955.0	146642.0	202506.0	227032.0	167389.0	133705.0	172406.0	339202.0	384248.0	291763.0	33344.0	268199.0	255609.0	502636.0	14670.0	153821.0	342878.0	279695.0	198850.0	378987.0	161268.0	181143.0	154495.0	368856.0	341153.0	115068.0
aspartate	426076.0	280747.0	275541.0	234720.0	237891.0	134254.0	59624.0	120070.0	231928.0	314576.0	222508.0	158168.0	288268.0	1308132.0	156459.0	212246.0	353117.0	191115.0	159627.0	147164.0	115376.0	200304.0	462510.0	294287.0	218800.0	223598.0	246014.0	517999.0	12225.0	237511.0	28878.0	511872.0	312266.0	385054.0	61916.0	169788.0	257231.0	31391.0	280525.0	47808.0	338753.0	284212.0	181701.0	350900.0	317402.0	120389.0
glutamate	2828458.0	2606967.0	2171697.0	3369966.0	4518063.0	1877357.0	559320.0	814951.0	3759110.0	2806095.0	2484716.0	1639691.0	1520523.0	1795816.0	1330606.0	1941334.0	3842338.0	2275823.0	1250825.0	2518690.0	1610327.0	3296695.0	5527393.0	2474985.0	1311474.0	3770051.0	1709620.0	1729801.0	790685.0	1465476.0	732751.0	3549265.0	3870363.0	3328910.0	937308.0	2208649.0	1768308.0	1178845.0	2142545.0	2340885.0	3019335.0	3697319.0	1337259.0	3503542.0	3142060.0	3773352.0
asparagine	45833.0	437751.0	14315.0	61187.0	637023.0	241238.0	33688.0	217908.0	148993.0	1646683.0	192089.0	326998.0	272219.0	627109.0	296657.0	1513694.0	775405.0	331061.0	1091085.0	425907.0	235602.0	388705.0	587298.0	539389.0	346542.0	546144.0	388125.0	228887.0	2790.0	405031.0	28039.0	715661.0	728668.0	1446957.0	86776.0	352287.0	106381.0	10746.0	389071.0	13903.0	301677.0	545410.0	387346.0	850878.0	444667.0	65722.0
glutamine	9793237.0	6005994.0	944951.0	5966459.0	2437984.0	3032976.0	3019320.0	83860.0	4389337.0	156026.0	2539781.0	3367240.0	6353587.0	3926288.0	2576843.0	232782.0	2581358.0	2859583.0	476216.0	5319202.0	112818.0	2740295.0	4165133.0	4939127.0	966097.0	3022096.0	3281253.0	7849736.0	41549.0	6343287.0	1726970.0	4243855.0	3970319.0	156555.0	388263.0	1700923.0	6465283.0	5884157.0	4885611.0	6383232.0	2170260.0	1616928.0	3487101.0	3372404.0	1115957.0	1387260.0
histidine	2798147.0	2069645.0	3719009.0	2910937.0	1797135.0	1215630.0	275411.0	4920318.0	4739268.0	1516291.0	1786996.0	1631960.0	1945309.0	1410171.0	1483554.0	2624214.0	1911257.0	1085089.0	779000.0	967287.0	3070171.0	1507342.0	1300118.0	1609641.0	823590.0	1417422.0	1480891.0	3915797.0	6276905.0	2574297.0	200156.0	1969702.0	1693966.0	2403012.0	172021.0	1021429.0	2189661.0	2023950.0	1416572.0	2597091.0	1189829.0	1355256.0	927421.0	3248347.0	3714689.0	1121734.0
arginine	1951398.0	4145439.0	1941878.0	2419927.0	4845750.0	3454367.0	169310.0	2709346.0	2820184.0	7730231.0	3005941.0	3450713.0	2459546.0	5163342.0	3766513.0	5011186.0	6091664.0	3310730.0	1448860.0	3510596.0	2570807.0	3397944.0	2906659.0	3353655.0	1403810.0	4798706.0	4757367.0	4063509.0	2552920.0	3434885.0	168415.0	5680443.0	5592089.0	5816796.0	748262.0	2655931.0	1454313.0	1474614.0	3475633.0	1813580.0	4037137.0	4296644.0	3102302.0	7613795.0	2157977.0	1616560.0
lysine	3663855.0	1025318.0	5311283.0	1272899.0	684948.0	640653.0	712372.0	2455503.0	1910289.0	360230.0	1195829.0	517807.0	1289576.0	597863.0	540912.0	167036.0	757879.0	441135.0	472502.0	549112.0	1734096.0	467741.0	497359.0	673159.0	566460.0	420186.0	622200.0	2183619.0	2001485.0	1475470.0	289833.0	941886.0	816680.0	759787.0	65784.0	516013.0	2827022.0	2075107.0	691103.0	2997007.0	521445.0	519420.0	418309.0	1481350.0	1811355.0	802960.0
valine	3107095.0	940394.0	4646259.0	1768886.0	595189.0	595831.0	1483292.0	2424529.0	2390052.0	414379.0	665873.0	465873.0	1295957.0	752034.0	509682.0	198246.0	741351.0	418210.0	638379.0	569068.0	762972.0	417635.0	562356.0	704138.0	710160.0	403965.0	589207.0	2360694.0	1824324.0	1093157.0	343671.0	777780.0	735099.0	1019878.0	84618.0	424457.0	2551081.0	1948923.0	747987.0	2702650.0	857794.0	478341.0	365662.0	928408.0	1317996.0	985249.0
leucine	9638226.0	5680429.0	12401230.0	4306035.0	3931030.0	3453340.0	1720542.0	5973549.0	5311541.0	4626968.0	1073362.0	2818522.0	4774752.0	4397011.0	2830174.0	3863131.0	5114198.0	2540705.0	3069090.0	4041955.0	778986.0	2641901.0	4149012.0	3824058.0	2984554.0	3890362.0	3649427.0	5839952.0	4416828.0	5642886.0	687273.0	5191016.0	5229126.0	5690739.0	324224.0	3306811.0	6855493.0	5286867.0	4458731.0	7505138.0	5131112.0	3649701.0	2704829.0	6908679.0	5831209.0	2405522.0
isoleucine	10572895.0	6317709.0	13734813.0	4714345.0	4322898.0	3796987.0	1945605.0	6119614.0	6153734.0	6615450.0	113143.0	3155398.0	4737085.0	5355020.0	3294592.0	6079638.0	6146290.0	3107703.0	4169005.0	4940244.0	68043.0	2974808.0	4855125.0	4629345.0	3109825.0	5231092.0	4379210.0	6861759.0	4728579.0	6410539.0	677917.0	5721322.0	5727643.0	6487286.0	388822.0	3908496.0	7361284.0	6143848.0	5028457.0	8265786.0	6201804.0	4124272.0	3183636.0	7548021.0	5890934.0	2479048.0
phenylalanine	12826583.0	3115261.0	16564962.0	5425380.0	2103984.0	1785241.0	2525310.0	10031399.0	11344766.0	1666049.0	856006.0	1429485.0	4925430.0	2319241.0	1525962.0	1047538.0	2660895.0	1285490.0	4056348.0	2166680.0	2069799.0	1453261.0	1718822.0	2759820.0	2854977.0	1747091.0	1800459.0	7598364.0	7193552.0	3753368.0	756696.0	2626305.0	2484972.0	5803010.0	163349.0	1727949.0	7268199.0	5942926.0	2422356.0	8513008.0	2083670.0	1658205.0	1475506.0	3950626.0	5889102.0	2815210.0
tyrosine	510935.0	151931.0	716379.0	216564.0	99429.0	71887.0	100412.0	445986.0	459670.0	137435.0	30597.0	67941.0	152000.0	121060.0	68957.0	156730.0	136237.0	67298.0	90472.0	95112.0	60937.0	64767.0	83611.0	121349.0	69806.0	108650.0	88212.0	352879.0	279983.0	162269.0	30273.0	115573.0	111882.0	290451.0	6921.0	88803.0	248407.0	251216.0	120388.0	312568.0	145401.0	78417.0	76243.0	175860.0	177670.0	99860.0
tryptophan	913136.0	282583.0	1277820.0	581129.0	284802.0	212142.0	252642.0	1044494.0	1236727.0	225004.0	125972.0	179642.0	542822.0	237237.0	216348.0	268229.0	303675.0	126886.0	74548.0	268693.0	317576.0	202207.0	192714.0	201171.0	139309.0	171378.0	226956.0	734144.0	946509.0	415493.0	89718.0	342846.0	313029.0	154117.0	15783.0	224045.0	618784.0	478904.0	245829.0	839336.0	279354.0	193588.0	204886.0	351102.0	41344.0	298553.0
proline	11227162.0	6645384.0	13787770.0	6684813.0	8867279.0	5202817.0	1950521.0	6844647.0	12953240.0	18434087.0	14405824.0	5808452.0	6756258.0	7072589.0	3594965.0	25332481.0	7569374.0	6522821.0	17535907.0	6625405.0	11049308.0	7397670.0	10099408.0	6788223.0	9262579.0	8932038.0	4209967.0	7127296.0	2459651.0	4700331.0	1983315.0	7331876.0	9560357.0	13677502.0	1781390.0	6092218.0	5350823.0	1347844.0	8001552.0	1747018.0	13669073.0	8057294.0	6195682.0	9205119.0	8647958.0	7944643.0
cis/trans-hydroxyproline	41371.0	371767.0	44295.0	114963.0	476634.0	182851.0	3861.0	170668.0	115641.0	1506821.0	436519.0	299421.0	364379.0	484694.0	248245.0	1743442.0	498279.0	322171.0	3750966.0	386539.0	73042.0	321027.0	806100.0	392452.0	1015256.0	545413.0	300012.0	106337.0	130015.0	325793.0	25888.0	473828.0	476816.0	1227116.0	135700.0	352499.0	27120.0	24609.0	356778.0	29968.0	588239.0	423557.0	397731.0	506298.0	1454471.0	111292.0
ornithine	283291.0	1001553.0	244649.0	307923.0	437707.0	404323.0	23559.0	725794.0	167052.0	569209.0	1339208.0	516154.0	1887181.0	598131.0	485653.0	838287.0	415308.0	532697.0	199260.0	550503.0	1951179.0	367406.0	1114216.0	830444.0	204993.0	926105.0	303860.0	355643.0	1060037.0	2281789.0	24783.0	596334.0	446669.0	203544.0	121802.0	740815.0	453788.0	147997.0	744394.0	293823.0	589573.0	401914.0	644253.0	1101363.0	270162.0	142422.0
citrulline	29169.0	19452.0	26238.0	33618.0	18552.0	10515.0	2960.0	31117.0	26294.0	26948.0	21850.0	17339.0	57703.0	27408.0	10737.0	17017.0	16302.0	16847.0	31472.0	20813.0	27574.0	14680.0	24332.0	15136.0	22595.0	37717.0	10418.0	21826.0	32020.0	19563.0	2302.0	13083.0	17866.0	59127.0	2012.0	23279.0	22276.0	10675.0	25376.0	16821.0	16279.0	11643.0	10239.0	20475.0	17146.0	16882.0
taurine	828052.0	285032.0	585219.0	672063.0	82540.0	118434.0	155113.0	1297387.0	389501.0	1315300.0	263948.0	414355.0	74696.0	253262.0	161230.0	772353.0	631535.0	178432.0	792079.0	541006.0	521828.0	396740.0	435181.0	36726.0	517931.0	503623.0	233526.0	870032.0	350369.0	141914.0	113193.0	253953.0	304770.0	356635.0	622330.0	384523.0	124564.0	36355.0	523869.0	79091.0	653272.0	786602.0	1128748.0	624361.0	10835.0	1521534.0
5-hydroxytryptophan		168.0	541.0			410.0		870.0	261.0										582.0	328.0				101.0	200.0					808.0				140.0			652.0		47.0							
5-HIAA	515.0	212.0	1349.0	1515.0	996.0	375.0		1556.0	1281.0	1292.0	2375.0	421.0	2803.0	1313.0	375.0	502.0	432.0	320.0	1356.0	710.0	835.0	1273.0		601.0	1092.0	679.0		1232.0		771.0		534.0	797.0	576.0		703.0	2913.0		343.0				366.0	468.0	381.0	657.0
serotonin	566.0	2905.0	10405.0	28623.0	13001.0	6181.0	2121.0	16294.0	4193.0	15813.0	24049.0	4158.0	18970.0	17754.0	1331.0	10182.0	3314.0	3995.0	8578.0	5106.0	9773.0	5758.0	855.0	1179.0	2449.0	3031.0	935.0	9713.0	16612.0	11756.0	1307.0	1421.0	939.0	1223.0	647.0		6939.0	1122.0	397.0	242.0	779.0	2069.0				13867.0
GABA	30115.0	58285.0	74845.0	81886.0	11782.0	31803.0	15762.0	126188.0	7129.0	391332.0	265372.0	66600.0	93274.0	58499.0	27506.0	106444.0	103738.0	49312.0	175488.0	134885.0	137322.0	31036.0	37011.0	46324.0	893596.0	49641.0	147182.0	31024.0	30399.0	56242.0	11683.0	26228.0	28081.0	13341.0	39163.0	20662.0	60755.0	29313.0	22578.0	27157.0	280774.0	83166.0	14160.0	17765.0	63868.0	36931.0
acetylglycine	2159.0	1223.0	3891.0	798.0		588.0		1910.0	1608.0	880.0		929.0	3755.0	1888.0		1939.0	1426.0	2346.0	2417.0	1075.0		674.0		1734.0	1136.0	2805.0	1207.0	3761.0	1609.0	947.0	852.0	1085.0	1044.0	2036.0		1049.0	1891.0	1382.0	1235.0	774.0	165.0		3045.0	1038.0	935.0	
dimethylglycine	60312.0	64238.0	83448.0	68139.0	40680.0	41713.0		65882.0	52998.0	115851.0	78093.0	38299.0	179217.0	87024.0	25677.0	98198.0	37059.0	43232.0	71706.0	62855.0		37668.0	70507.0	55305.0	60293.0	64093.0	27276.0	58256.0	47573.0	63225.0	7346.0	38863.0	36753.0	74295.0	4460.0	114291.0	64489.0	34673.0	56165.0	41594.0	72222.0	32956.0	39667.0	52743.0	47917.0	59181.0
homocysteine	5704.0	4831.0	29421.0	4717.0	3300.0	901.0		2796.0	9943.0	22279.0	1183.0	1376.0	856.0	6184.0	720.0	20983.0	6414.0	2255.0	20144.0	1801.0	2076.0	792.0	5965.0	843.0	6747.0	10375.0	3326.0	3214.0	277.0			1744.0	2380.0	13420.0		4996.0	289.0	730.0	8145.0	1420.0	8077.0	1315.0	966.0	5146.0	1288.0	2412.0
SDMA/ADMA	186947.0	236196.0	217324.0	256618.0	182728.0	112558.0	18062.0	281449.0	373582.0	423704.0	329916.0	150421.0	599009.0	271197.0	103744.0	456117.0	204599.0	170112.0	231841.0	146843.0	211718.0	162692.0	226089.0	172565.0	199813.0	285694.0	122583.0	358894.0	254421.0	250623.0	22333.0	158532.0	157626.0	282125.0	31129.0	155884.0	193468.0	113655.0	213615.0	138994.0	253220.0	139928.0	126429.0	271851.0	249830.0	126648.0
NMMA	20752.0	16130.0	25084.0	11913.0	8676.0	6115.0		16523.0	34444.0	29886.0		5691.0		16851.0	5670.0	29370.0	10096.0	8438.0	17334.0	8629.0		9948.0		9066.0	10920.0	16418.0	7141.0	25789.0	16524.0	9911.0		7268.0	6360.0	28912.0	1408.0	5187.0	13044.0	8041.0	13628.0	12338.0		5833.0	5166.0	19905.0	15211.0	
allantoin	103254.0	99033.0	97838.0	101663.0	54197.0	41648.0	14581.0	87219.0	45821.0	92754.0	129907.0	48496.0	227990.0	84420.0	35235.0	86313.0	60015.0	54366.0	69318.0	86592.0	44140.0	46872.0	63107.0	65254.0	86641.0	92380.0	37802.0	70006.0	55153.0	72390.0	14471.0	51285.0	46548.0	90847.0	9113.0	61606.0	123950.0	56344.0	81211.0	61604.0	77421.0	41218.0	52776.0	88662.0	48589.0	49731.0
aminoisobutyric acid			1516.0	1372.0		1167.0		1602.0	1920.0	4780.0	2799.0	530.0	1030.0	1310.0		1721.0	1033.0		1376.0	2489.0				1763.0			757.0	1577.0	1586.0	1046.0				1672.0		1101.0	1611.0		1583.0				2244.0			
anthranilic acid	1168.0	12295.0	1295.0	1346.0	5534.0	2999.0	895.0	9781.0	1883.0	15306.0	1607.0	2267.0	3595.0	4005.0	3305.0	2233.0	4322.0	1408.0	1399.0	5451.0	25213.0	935.0	2786.0	1027.0	3381.0	7045.0	1490.0	14149.0	989.0	9687.0	464.0	1365.0	1628.0	331588.0	571.0	1817.0	1225.0	1134.0	9613.0	786.0	1431.0	2199.0	2140.0	4656.0	4401.0	681.0
kynurenic acid	24465.0	15180.0	16240.0	9950.0	5793.0	4052.0	1335.0	11007.0	8306.0	11579.0		3668.0	28142.0	10660.0	2963.0	9307.0	6189.0	3004.0	13373.0	9967.0	4278.0	5589.0		8553.0	10977.0	13135.0	3208.0	7019.0	6643.0	9809.0		5807.0	4763.0	15331.0	214.0	16159.0	13120.0	7206.0	11840.0	3859.0	5747.0	3920.0	7567.0	13528.0	16218.0	
5-adenosylhomocysteine	1353.0	3095.0	6066.0	2280.0	1919.0	1609.0		1775.0	6998.0	11889.0		1281.0	1639.0	5092.0	840.0	6283.0	3012.0	1410.0	4921.0	1979.0		1100.0	4692.0	1811.0	2847.0	4478.0	1773.0	6051.0	562.0	1134.0		1769.0	2158.0	4566.0	1270.0	3245.0	1031.0	567.0	6140.0	1199.0	3611.0	2490.0	1164.0	1638.0	2363.0	17769.0
carnosine	29351.0	35880.0	25720.0	43995.0	22540.0	18701.0	5636.0	35523.0	19981.0	26839.0	78428.0	21251.0	170051.0	31746.0	16061.0	24299.0	25036.0	21580.0	26894.0	22083.0	19030.0	17312.0	34557.0	32705.0	27406.0	33299.0	16954.0	24700.0	30606.0	54547.0	7535.0	19753.0	19979.0	22423.0	3247.0	25194.0	52540.0	25262.0	28468.0	23380.0	32544.0	13166.0	18413.0	36906.0	25405.0	14340.0
histamine		558418.0	90133.0						26060.0										51232.0	17363.0																	35469.0									
3-hydroxyanthranilic acid				351.0					1155.0	4619.0	1483.0			379.0				332.0			3338.0					157.0		422.0		20115.0				80012.0		1323.0		1939.0	12389.0				9756.0	260.0	9887.0	8891.0
N-carbamoyl-beta-alanine	1233.0	4144.0	4113.0	68665.0	5051.0	612.0	3029.0	2751.0	15528.0	36442.0	7172.0	40393.0	9270.0	1040.0	6281.0	7228.0	13686.0	35317.0	4325.0	4051.0	9501.0	32017.0	37305.0	338.0	2431.0	105300.0	2366.0	4893.0	29859.0	7331.0		19821.0	17496.0	90751.0	3449.0	9950.0	430.0	3727.0	420.0	6340.0	8046.0	18673.0	1029.0	44437.0	10379.0	19892.0
cobalamin											54655.0								53650.0		39238.0				42555.0												291.0							458.0	45020.0	
thiamine	5051772.0	1637768.0	6236383.0	1262267.0	1520032.0	1000192.0	1519272.0	1781690.0	1476535.0	1003562.0	857403.0	918074.0	1356775.0	1280376.0	702389.0	1125152.0	1431797.0	674812.0	456656.0	1223160.0	313553.0	969913.0	1072694.0	1068061.0	392089.0	1387718.0	1121940.0	1439487.0	486067.0	1755570.0	486892.0	1351780.0	1275319.0	1679435.0	156865.0	560126.0	2973444.0	2745679.0	1271264.0	3343369.0	2716108.0	1407140.0	703345.0	1775708.0	265469.0	805599.0
niacinamide	1002203.0	233057.0	1556195.0	179587.0	117324.0	186567.0	274768.0	109422.0	75181.0	197461.0	34885.0	104930.0	315337.0	215273.0	107954.0	216132.0	165215.0	119231.0	246565.0	171594.0	23901.0	112076.0	20319.0	122554.0	157273.0	141480.0	84685.0	213633.0	132816.0	254416.0	89142.0	163800.0	101395.0	102428.0	49386.0	76403.0	564512.0	501413.0	171804.0	580413.0	25601.0	108661.0	136416.0	78793.0	51740.0	78903.0
betaine	5216516.0	4538046.0	5442614.0	4188107.0	3440193.0	2138557.0	884802.0	5287919.0	3769866.0	5990345.0	7058339.0	3223536.0	8166789.0	4654117.0	2311148.0	6460598.0	3855155.0	3297630.0	7602892.0	4055225.0	4029310.0	3004907.0	4100916.0	3201054.0	5039953.0	5400349.0	2447411.0	4246711.0	5080272.0	4339658.0	859505.0	3353187.0	3462172.0	5253907.0	1435773.0	3402449.0	4929906.0	2737110.0	3524352.0	3155747.0	4888173.0	3019167.0	3487048.0	4433047.0	3211524.0	2815058.0
choline	3023890.0	5087064.0	1188996.0	5041000.0	3639692.0	2544978.0	4306002.0	4094217.0	390843.0	1450062.0	14373519.0	3559807.0	7810843.0	5232614.0	2645286.0	1872555.0	4370629.0	3485165.0	5035688.0	4633797.0	6761123.0	2752312.0	4982772.0	2248528.0	5081172.0	5184396.0	2635731.0	2832247.0	4477821.0	6057462.0	2450529.0	4502920.0	4429207.0	1465479.0	1797329.0	5324102.0	6015958.0	3738517.0	3082917.0	4777755.0	2332797.0	3863310.0	1709790.0	5738749.0	5328684.0	4729819.0
alpha-glycerophosphocholine	1463677.0	1806937.0	534502.0	611411.0	116455.0	1611038.0	246447.0	1958539.0	704947.0	3187985.0	1074707.0	656493.0	789446.0	704458.0	369949.0	288008.0	556394.0	395824.0	315614.0	362299.0	249047.0	1507065.0	608106.0	711466.0	1500665.0	152337.0	105202.0	1668317.0	2484019.0	635889.0	12828.0	111164.0	71699.0	1900913.0	1268866.0	771847.0	868722.0	277704.0	1212906.0	235539.0	698026.0	225217.0	1061179.0	56152.0	1792946.0	1235751.0
acetylcholine	6829.0	471863.0		1567.0	2332.0		67368.0	1462028.0		2295.0	45285.0	10320.0	510985.0	1646.0	1213.0	5641.0	39166.0	14909.0			1118439.0	5416.0	14792.0			750.0	18677.0	12230.0	28515.0	302129.0	26971.0	1122.0			966.0	5128.0		50480.0		1502.0	1934964.0	3042.0	4204.0	14577.0		10756.0
creatine	4820911.0	4100982.0	1961645.0	4435573.0	3003756.0	3798809.0	1198211.0	2235522.0	6266178.0	7096243.0	3548677.0	1106323.0	2597555.0	8324716.0	1016174.0	2088083.0	2334695.0	3335812.0	5708048.0	4089031.0	1139185.0	2499640.0	3628274.0	1869373.0	4849622.0	2327984.0	2576432.0	2732784.0	1905888.0	2152328.0	162247.0	3771669.0	2112440.0	5145610.0	214234.0	7982655.0	3440713.0	454315.0	4019750.0	1629245.0	3810393.0	4287894.0	4612913.0	2505743.0	2624331.0	6657606.0
creatinine	806150.0	1271260.0	658503.0	904719.0	575536.0	352202.0	197068.0	640385.0	1021587.0	1095054.0	1064513.0	445005.0	1735832.0	981369.0	330332.0	564476.0	526751.0	562098.0	1024083.0	663749.0	398421.0	438206.0	721389.0	413319.0	695977.0	561602.0	377179.0	598775.0	464917.0	615162.0	92986.0	727941.0	410609.0	975789.0	72390.0	668475.0	789544.0	307373.0	685483.0	513294.0	681238.0	357818.0	685875.0	847448.0	420601.0	588835.0
thyroxine	456.0	355.0	396.0	543.0	390.0	107.0		371.0	278.0	313.0		272.0	837.0	155.0	99.0	317.0	232.0	223.0	383.0	221.0		382.0	284.0	137.0	225.0	370.0	114.0	382.0	244.0	271.0		285.0	323.0	631.0		198.0	188.0	264.0	255.0	352.0	309.0	395.0	269.0	579.0	174.0	
trimethylamine-N-oxide	7279.0	11131.0	7006.0	7976.0	11259.0	7525.0	16022.0	8118.0	6508.0	4965.0	9974.0	8976.0	8351.0	8913.0	9199.0	6269.0	6739.0	6138.0	8255.0	6318.0	28963.0	7147.0	7682.0	5854.0	8885.0	6976.0	6451.0	7769.0	10764.0	9422.0	7705.0	8478.0	10171.0	6307.0	5044.0	7064.0	6727.0	6205.0	5218.0	10673.0	5250.0	8895.0	5812.0	8235.0	11163.0	11646.0
glycerol		624.0				410.0		495.0	230.0		286.0	225.0			1489.0		292.0		436.0	501.0			367.0	654.0	425.0					504.0				469.0			295.0		328.0						383.0	
glucose	3533.0	4249.0	4617.0	1944.0	3427.0	3021.0		7866.0		1257.0		3883.0		6288.0	3795.0	392.0	3838.0	3433.0	4969.0	2226.0		2990.0		3895.0	6199.0	895.0	4104.0	2491.0	9936.0	4549.0		3914.0	4215.0	3063.0		670.0	8059.0	3885.0	3167.0	8124.0		2815.0	971.0	2756.0	4784.0	
adenosine	371.0	15092.0	15461.0	23564.0	44882.0	3853.0	13752.0	9964.0	627316.0	27039.0	10134.0	43514.0	14552.0	100720.0	44566.0	20629.0	16963.0	20711.0	11307.0	42432.0	19051.0	152567.0	26626.0	192126.0	11785.0	1038.0	15484.0	51297.0	20162.0	13781.0	4839.0	167835.0	44103.0	19598.0	7881.0	5574.0	174715.0	51805.0	105595.0	29196.0	19122.0	25359.0	474.0	31403.0	16582.0	39312.0
cytosine		661.0	7424.0			238.0			432.0	944.0									268.0	74.0				171.0	180.0					1257.0				12978.0			69.0		2254.0							
thymidine	6863.0	2188.0	108324.0	5799.0	5820.0	33118.0	1455.0	1454.0	2535.0	20884.0	23950.0	1897.0	44665.0	2173.0	902.0	251012.0	2540.0	3902.0	4151.0	2712.0	4880.0	1830.0	5911.0	5106.0	2412.0	4774.0	1675.0	17199.0	13241.0	4637.0	2286.0	4252.0	12953.0	59315.0	163.0	4327.0	1967.0	4036.0	4128.0	19535.0	49757.0	3027.0	6963.0	38776.0	3320.0	1063.0
xanthosine	12464.0	11785.0	16327.0	10377.0	6883.0	4423.0	4712.0	13627.0	10057.0	11216.0		6208.0	30973.0	9570.0	4028.0	9242.0	5734.0	5440.0	15146.0	9562.0	10076.0	5311.0		7739.0	18809.0	9213.0	4402.0	7857.0	7658.0	12958.0		6395.0	4938.0	9804.0	4867.0	6822.0	14129.0	5563.0	8617.0	5976.0	8490.0	4671.0	5953.0	8247.0	7735.0	
2-deoxyadenosine	2365.0	1535.0	110683.0	11206.0	12033.0	5019.0	1613.0	2211.0	8899.0	53572.0	21673.0	21501.0	2766.0	1768.0	676.0	106741.0	5671.0	9102.0	19658.0	12249.0	484.0	3876.0	1971.0	765.0	32888.0	6789.0	2582.0	21029.0	523.0	3978.0	268.0	15707.0	13123.0	4251.0	984.0	740.0	854.0	2799.0	4639.0	3796.0	1864.0	3043.0	16078.0	22754.0	4109.0	2998.0
2-deoxycytidine	43950.0	23515.0	223644.0	13338.0	62702.0	7213.0	12239.0	659.0	11518.0	505225.0	2963.0	2335.0	18490.0	14604.0	5933.0	73356.0	2367.0	14501.0	7923.0	1667.0	2511.0	759.0	19224.0	5582.0	6311.0	24623.0	4844.0	124024.0	2409.0	40844.0	2540.0	143208.0	5304.0	407970.0	36125.0	59683.0	2177.0	15357.0	70902.0	14997.0	17557.0	9747.0	46095.0	403886.0	1977.0	4547.0
cAMP	454.0	709.0	4622.0		750.0	150.0			4534.0	773.0		286.0		1920.0	387.0	740.0	407.0	160.0	326.0	741.0		1707.0		1146.0	252.0	610.0	91.0	4581.0	249.0			679.0	874.0	760.0	388.0	772.0	252.0	322.0	2193.0	286.0		1541.0	614.0	250.0	669.0	
cotinine	5743.0	3844.0	5074.0	15813.0	15857.0	7393.0	6674.0	5304.0	7766.0	7535.0	4806.0	18907.0	7279.0	20188.0	14909.0	11448.0	31310.0	19733.0	6582.0	7974.0	4681.0	14861.0	13354.0	7711.0	5968.0	2363.0	24672.0	26002.0	6882.0	7906.0	14349.0	21772.0	15483.0	22887.0	16016.0	5130.0	6382.0	7173.0	10865.0	18164.0	9660.0	22511.0	1508.0	1348.0	13156.0	10703.0
pipecolic acid		1062.0	229.0	5855.0		170.0	6967.0	7420.0	4182.0	6171.0	2608.0		9290.0		805.0	2598.0		2027.0	2235.0	493.0	1162.0			142.0	550.0	3533.0		6694.0	16361.0				965.0	1770.0	1573.0	1775.0	436.0	1262.0	538.0	1565.0	3775.0	998.0	1286.0		1565.0	
5-aminolevulinic acid		16338.0						7782.0											16339.0											14568.0																
pyroglutamic acid	933185.0	674445.0	1778211.0	405175.0	483021.0	368644.0	178975.0	58033.0	514522.0	610664.0	402336.0	409041.0	504626.0	642156.0	406230.0	642831.0	759156.0	284430.0	408867.0	456557.0	289844.0	314314.0	553124.0	365212.0	389815.0	516716.0	489448.0	481842.0	23107.0	670194.0	103806.0	722558.0	693993.0	548500.0	55486.0	575608.0	1002714.0	612944.0	515447.0	861084.0	750998.0	543427.0	377772.0	1094362.0	338359.0	349833.0
1-methylnicotinamide	15024.0	2569943.0	4925.0	2964882.0	4209117.0	5384.0	1396304.0	3521276.0	2699478.0	147308.0	133440.0	2988465.0	107175.0	157564.0	1353622.0	1184.0	2822658.0	944324.0	1090.0	8363158.0	86786.0	2193533.0	1495962.0	7727216.0	2748735.0	4427334.0	3708360.0	1346.0	5793372.0	2889701.0	696.0	5160687.0	5287742.0	4637605.0	1420.0	1404367.0	1233311.0	402759.0	1752879.0	3947443.0	2428884.0	4579454.0	519.0	2307704.0	5627085.0	2433991.0
